case_id,top_k_clusters,n_selected_clusters,n_shapes_selected_hard,expected_fs_hard_sum,expected_fs_hard_mean,expected_fs_hard_density,expected_fs_soft_sum,expected_fs_soft_mean,expected_fs_soft_density,fs_signed,fs_resolution,n_points_shape,n_points_occluder
elephant_7_low_large_1,5,5,3941,27.772549533319463,1.2011886915508787,0.23925773303500814,27.787256294803402,1.2019711259942243,0.23943303799833576,True,3,256,128
elephant_7_low_large_2,5,5,4366,27.412102548176755,1.1893691901725547,0.23637811160978495,27.35880804233362,1.189122947643698,0.2363791810065168,True,3,256,128
elephant_7_low_large_3,5,5,4788,27.463858866701564,1.198048666490532,0.23888291293310515,27.48942331203662,1.1991846416353615,0.2391705885255976,True,3,256,128
elephant_7_low_large_4,5,5,4114,28.913922024607597,1.222841332670393,0.24289707006891764,28.953620860817207,1.2237250070159444,0.24302741622674262,True,3,256,128
elephant_7_low_large_5,5,5,4601,26.154218440966467,1.1691715704079748,0.23315662999219938,26.140393325439078,1.1694089560601695,0.233220524254783,True,3,256,128
elephant_7_low_large_6,5,5,4462,25.85689504533191,1.158074070768409,0.2306163173336286,25.802525158704675,1.157584405126443,0.2305394263312993,True,3,256,128
elephant_7_low_large_7,5,5,4102,28.2533816963634,1.212941744054298,0.24119154548879687,28.22886492254645,1.2133391667092162,0.24131535937702792,True,3,256,128
elephant_7_low_large_8,5,5,3474,30.197438553964243,1.2491432561243634,0.24794601790702686,30.2517553937965,1.2506539625712507,0.2482377076868703,True,3,256,128
elephant_7_low_large_9,5,5,4832,27.773693745350926,1.194015041446156,0.23737053958254595,27.861227233301015,1.1957144732447027,0.23769966971811862,True,3,256,128
elephant_7_low_large_10,5,5,4451,24.48281551894971,1.1331385908108091,0.22632166114425759,24.463363328923478,1.132866912415425,0.22628056653009448,True,3,256,128
elephant_7_low_large_11,5,5,3992,27.553476803915558,1.1963507573759733,0.23822448005985944,27.55960261532904,1.1967014854961842,0.23827603028570887,True,3,256,128
elephant_7_low_large_12,5,5,3569,29.490352758737217,1.2275317645858603,0.24315097720336326,29.522667941540078,1.2285975093199044,0.24334943365763717,True,3,256,128
elephant_7_low_large_13,5,5,4422,28.417233163685736,1.2168531274111491,0.24232420299409252,28.444630956004342,1.2178407970171978,0.24254922605451845,True,3,256,128
elephant_7_low_large_14,5,5,4329,26.50733606667461,1.1801853968211395,0.23557752614612285,26.505797583611777,1.1805098218026862,0.2356832009789711,True,3,256,128
elephant_7_low_large_15,5,5,5039,27.32722391649609,1.1870322786674934,0.23594462640523675,27.276991435079516,1.1865327238161858,0.23586123836835493,True,3,256,128
