case_id,top_k_clusters,n_selected_clusters,n_shapes_selected_hard,expected_fs_hard_sum,expected_fs_hard_mean,expected_fs_hard_density,expected_fs_soft_sum,expected_fs_soft_mean,expected_fs_soft_density,fs_signed,fs_resolution,n_points_shape,n_points_occluder
elephant_7_low_large_1,5,5,8285,23.133744917984174,1.1090741319354358,0.22190366698387504,23.01344074926411,1.1070746524887283,0.22152981187818585,True,3,256,128
elephant_7_low_large_2,5,5,5928,21.922786752166466,1.0880953197084928,0.21825341023426764,21.623269079867892,1.0819831094703891,0.21710420919734283,True,3,256,128
elephant_7_low_large_3,5,5,7856,22.9679997012679,1.10792751909345,0.22203262820245112,22.845523444370247,1.105760380067163,0.2216459671863059,True,3,256,128
elephant_7_low_large_4,5,5,6404,22.2674723965511,1.093583383067983,0.21932392922091734,22.088423013206764,1.0900398533643643,0.2186745557829866,True,3,256,128
elephant_7_low_large_5,5,5,7183,22.615122174198984,1.10016508954594,0.2205832518638097,22.50577412212646,1.0984232542191223,0.22030178072260115,True,3,256,128
elephant_7_low_large_6,5,5,6275,22.43793860267182,1.095697925749574,0.2196984734026719,22.225073857570827,1.091540846290966,0.2189043122024012,True,3,256,128
elephant_7_low_large_7,5,5,7595,22.85698160962839,1.1048175675427707,0.22128046798945986,22.65572438731871,1.1011916319849504,0.22062602100063167,True,3,256,128
elephant_7_low_large_8,5,5,5379,21.047151089885766,1.0709016985347601,0.21515189094349274,20.75182657659433,1.0646815266158591,0.21396060703462036,True,3,256,128
elephant_7_low_large_9,5,5,5625,22.53999862803095,1.1021410311768132,0.22109599545622746,22.24129495720988,1.0959614653881742,0.21994216170633393,True,3,256,128
elephant_7_low_large_10,5,5,5835,21.76978988282955,1.0841657901372121,0.2174246481231349,21.513740838562054,1.0790651472399773,0.21647415473473713,True,3,256,128
elephant_7_low_large_11,5,5,7972,22.97984412039163,1.1082643010039082,0.22206371400327157,22.849429719286896,1.1060323770065201,0.22168607055556913,True,3,256,128
elephant_7_low_large_12,5,5,7293,22.734614895211614,1.1023989479544283,0.2208421970535427,22.531760836252186,1.0986073385998023,0.22014532336534298,True,3,256,128
elephant_7_low_large_13,5,5,7653,22.59460982345699,1.0993298725908969,0.22045173467708426,22.39225745592206,1.0957780125382888,0.2198349540222737,True,3,256,128
elephant_7_low_large_14,5,5,8004,23.044261398550177,1.1088565577128286,0.2221313880397963,22.94091031960683,1.1071220481194937,0.22183244918736741,True,3,256,128
elephant_7_low_large_15,5,5,5129,21.501745360930055,1.0783967571994282,0.2163101050268197,21.192535020300912,1.0717894704991906,0.21503653078445262,True,3,256,128
