case_id,top_k_clusters,n_selected_clusters,n_shapes_selected_hard,expected_fs_hard_sum,expected_fs_hard_mean,expected_fs_hard_density,expected_fs_soft_sum,expected_fs_soft_mean,expected_fs_soft_density,fs_signed,fs_resolution,n_points_shape,n_points_occluder
elephant_7_low_small_1,5,5,1982,4.882063061053105,0.8018634353434423,0.20777814613012138,4.6638331751489766,0.7871064693516205,0.2011929476373535,True,3,256,128
elephant_7_low_small_2,5,5,1017,5.447437382402297,0.843790208931956,0.2169068990300843,5.223859164283624,0.8244062906562631,0.21336737659401475,True,3,256,128
elephant_7_low_small_3,5,5,1136,5.860865358848692,0.8703521004830617,0.229169190399544,5.610084518491643,0.849869430666214,0.22455460968162433,True,3,256,128
elephant_7_low_small_4,5,5,1002,5.098857443901672,0.8056748461216552,0.2058864115797911,5.097273847871184,0.8043218233067073,0.20884522165854263,True,3,256,128
elephant_7_low_small_5,5,5,1018,5.800847056969483,0.8710666194813939,0.23262918513836137,5.68736293999201,0.8651249833581458,0.22817686463554468,True,3,256,128
elephant_7_low_small_6,5,5,964,4.36495127746016,0.6817858765752309,0.1757457486820751,5.100599534604607,0.8125744577343281,0.20923343186024418,True,3,256,128
elephant_7_low_small_7,5,5,1199,3.9564613960329678,0.6498033653493046,0.17377401956996455,5.1578018485852235,0.8242506857712832,0.217940045135021,True,3,256,128
elephant_7_low_small_8,5,5,1256,5.304116055743398,0.8363827019219517,0.22118736026180008,5.129643691569075,0.8211804803734866,0.2178453026590376,True,3,256,128
elephant_7_low_small_9,5,5,1276,5.320927099371248,0.8330182765806089,0.21913786374459357,5.245626631810796,0.8261670154669364,0.21827892719974018,True,3,256,128
elephant_7_low_small_10,5,5,1451,5.101101520566982,0.8129834557815582,0.20665609678560107,4.727757271015447,0.7868422130052115,0.201404247104909,True,3,256,128
elephant_7_low_small_11,5,5,1040,4.204472951022043,0.6660572411962022,0.17108470672895934,5.219871466662083,0.821461965545963,0.2102609063159322,True,3,256,128
elephant_7_low_small_12,5,5,1898,5.158367796135864,0.8161931968483462,0.20795750528645077,4.629123034361909,0.7783617868057139,0.19561426765283663,True,3,256,128
elephant_7_low_small_13,5,5,1627,5.110250100345904,0.8187506997899737,0.21179220910480062,5.045951718674758,0.8090171068905857,0.21023857106763993,True,3,256,128
elephant_7_low_small_14,5,5,1789,4.658302624409986,0.7805532951388238,0.1945120634856104,4.29170000475516,0.75757905648613,0.18762170312148296,True,3,256,128
elephant_7_low_small_15,5,5,1130,5.6062217523425755,0.851830128408636,0.21964254430063218,5.1416966512932465,0.816420429968179,0.21134871681692846,True,3,256,128
